Province,Total Case,Total Deaths,Death Rate
ALBERTA,334203,3235,0.967974554
BRITISH COLUMBIA,217099,2322,1.069558128
MANITOBA,67420,1305,1.93562741
NEW BRUNSWICK,8087,123,1.520959565
NEWFOUNDLAND AND LABRADOR,2048,18,0.87890625
NORTHWEST TERRITORIES,2059,12,0.582807188
NOVA SCOTIA,8169,108,1.322071245
NUNAVUT,674,4,0.59347181
ONTARIO,615197,9991,1.624032627
PRINCE EDWARD ISLAND,367,0,0
QUEBEC,444585,11571,2.602651911
SASKATCHEWAN,80775,916,1.134014237
YUKON,1475,13,0.881355932
